"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"25000",11,9,4,3,0.75,0.818181818181818,2,2,2,2,1,1,2,1,1,0.5
"25001",13,6,6,3,0.5,0.461538461538462,4,2,5,2,2,1,4,2,0.5,0.5
"25002",6,5,3,3,1,0.833333333333333,1,1,2,2,0,0,2,2,0,1
"25003",9,9,5,6,0.222222222222222,1,1,1,1,4,0,0,1,4,0,0.25
"25004",25,23,15,14,0.933333333333333,0.92,3,1,8,8,1,0,7,7,0,1
"25005",8,7,4,4,0.6,0.875,1,1,3,3,0,0,3,3,0,1
"25006",9,9,4,5,0.8,1,1,1,2,3,0,1,2,2,0,1
"25007",7,7,4,3,0.4,1,2,2,2,2,1,1,2,2,0,1
"25008",6,9,3,3,0.5,0.666666666666667,1,2,1,2,1,1,1,2,1,0.5
"25009",6,5,3,2,0.25,0.833333333333333,1,1,2,2,0,0,2,1,0,0.5
"25010",6,8,4,3,0.166666666666667,0.75,1,3,3,1,0,1,3,1,0,0
"25011",17,17,6,6,0.714285714285714,1,3,3,5,5,1,1,5,5,1,0.666666666666667
"25012",4,4,3,3,0.2,1,2,2,2,2,1,1,1,1,0,1
"25013",10,14,6,8,0.166666666666667,0.714285714285714,2,3,2,4,2,1,2,4,0,0.2
"25014",9,9,4,4,0.6,1,1,1,4,4,0,0,3,3,0,1
"25015",14,14,7,7,1,1,2,2,4,4,1,1,4,4,1,1
"25016",14,21,9,12,0.4,0.666666666666667,4,5,5,5,2,3,4,4,0.25,0.333333333333333
"25017",11,12,6,4,0.111111111111111,0.916666666666667,2,4,4,2,2,1,3,2,0,0.25
"25018",9,11,4,6,0.25,0.818181818181818,3,2,3,5,2,1,2,4,0,0.5
"25019",10,8,6,5,0.571428571428571,0.8,1,1,3,3,1,1,2,3,0,0.666666666666667
"25020",11,9,5,5,0.428571428571429,0.818181818181818,2,2,2,4,1,1,2,3,1,0.25
"25021",7,9,3,3,0.5,0.777777777777778,4,2,1,1,1,0,1,1,0,1
"25022",9,14,5,8,0.3,0.642857142857143,2,3,3,4,1,2,3,4,0.5,0.4
"25023",14,14,8,8,0.777777777777778,1,2,2,5,5,1,1,5,5,1,0.666666666666667
